Larrau,larrau,64560,43.016667,-0.95
Larressore,larressore,64480,43.366667,-1.433333
Larreule,larreule,64410,43.483333,-0.466667
Larribar-Sorhapuru,larribar-sorhapuru,64120,43.3,-1.016667
Laruns,laruns,64440,42.983333,-0.416667
Lasclaveries,lasclaveries,64450,43.433333,-0.283333
Lasse,lasse,64220,43.15,-1.266667
Lasserre,lasserre,64350,43.5145,-0.0833333
Lasseube,lasseube,64290,43.233333,-0.483333
Lasseubetat,lasseubetat,64290,43.166667,-0.45
Lay-Lamidou,lay-lamidou,64190,43.283333,-0.716667
Lecumberry,lecumberry,64220,43.133333,-1.133333
Ledeuix,ledeuix,64400,43.216667,-0.616667
Lée,lee,64320,43.283333,-0.283333
Lées-Athas,lees-athas,64490,42.975,-0.616667
Lembeye,lembeye,64350,43.45,-0.1
Lème,leme,64450,43.5,-0.366667
Léren,leren,64270,43.5,-1.033333
Lescar,lescar,64230,43.333333,-0.416667
Lescun,lescun,64490,42.933333,-0.591667
Lespielle,lespielle,64350,43.4734,-0.144444
Lespourcy,lespourcy,64160,43.366667,-0.15
Lestelle-Bétharram,lestelle-betharram,64800,43.133333,-0.216667
L\Hôpital-d\Orion,lhopital-dorion,64270,43.433333,-0.85
L\Hôpital-Saint-Blaise,lhopital-saint-blaise,64130,43.25,-0.766667
Lichans-Sunhar,lichans-sunhar,64470,43.1,-0.866667
Lichos,lichos,64130,43.3,-0.866667
Licq-Athérey,licq-atherey,64560,43.066667,-0.866667
Limendous,limendous,64420,43.283333,-0.183333
Livron,livron,64530,43.233333,-0.133333
Lohitzun-Oyhercq,lohitzun-oyhercq,64120,43.283333,-0.966667
Lombia,lombia,64160,43.333333,-0.133333
Lonçon,loncon,64410,43.466667,-0.416667
Lons,lons,64140,43.316667,-0.4
Loubieng,loubieng,64300,43.433333,-0.75
Louhossoa,louhossoa,64250,43.316667,-1.35
Lourdios-Ichère,lourdios-ichere,64570,43.05,-0.666667
Lourenties,lourenties,64420,43.283333,-0.166667
Louvie-Juzon,louvie-juzon,64260,43.1,-0.416667
Louvie-Soubiron,louvie-soubiron,64440,43,-0.433333
Louvigny,louvigny,64410,43.5,-0.45
Luc-Armau,luc-armau,64350,43.4212,-0.0666667
Lucarré,lucarre,64350,43.4,-0.083333
Lucgarier,lucgarier,64420,43.233333,-0.183333
Lucq-de-Béarn,lucq-de-bearn,64360,43.3,-0.666667
Lurbe-Saint-Christau,lurbe-saint-christau,64660,43.116667,-0.616667
Lussagnet-Lusson,lussagnet-lusson,64160,43.433333,-0.2
Luxe-Sumberraute,luxe-sumberraute,64120,43.35,-1.083333
Lys,lys,64260,43.133333,-0.35
Macaye,macaye,64240,43.333333,-1.316667
Malaussanne,malaussanne,64410,43.566667,-0.466667
Mascaraàs-Haron,mascaraas-haron,64330,43.55,-0.216667
Maslacq,maslacq,64300,43.433333,-0.7
Masparraute,masparraute,64120,43.383333,-1.083333
Maspie-Lalonquère-Juillacq,maspie-lalonquere-juillacq,64350,43.4228,-0.148611
Maucor,maucor,64160,43.35,-0.283333
Mauléon-Licharre,mauleon-licharre,64130,43.233333,-0.883333
Maure,maure,64460,43.383333,-0.066667
Mazères-Lezons,mazeres-lezons,64110,43.266667,-0.35
Mazerolles,mazerolles,64230,43.45,-0.466667
Méharin,meharin,64120,43.333333,-1.15
Meillon,meillon,64510,43.266667,-0.316667
Mendionde,mendionde,64240,43.35,-1.3
Menditte,menditte,64130,43.166667,-0.9
Mendive,mendive,64220,43.133333,-1.133333
Méracq,meracq,64410,43.516667,-0.383333
Méritein,meritein,64190,43.333333,-0.766667
Mesplède,mesplede,64370,43.483333,-0.65
Mialos,mialos,64410,43.5,-0.4
Miossens-Lanusse,miossens-lanusse,64450,43.466667,-0.3
Mirepeix,mirepeix,64800,43.183333,-0.25
Momas,momas,64230,43.45,-0.433333
Momy,momy,64350,43.4,-0.116667
Monassut-Audiracq,monassut-audiracq,64160,43.416667,-0.2
Moncaup,moncaup,64350,43.483333,-0.066667
Moncayolle-Larrory-Mendibieu,moncayolle-larrory-mendibieu,64130,43.2659,-0.848056
Moncla,moncla,64330,43.583333,-0.233333
Monein,monein,64360,43.333333,-0.583333
Monpezat,monpezat,64350,43.5,-0.066667
Monségur,monsegur,64460,43.4318,-0.01679
Mont,mont,64300,43.433333,-0.65
Mont-Disse,mont-disse,64330,43.566667,-0.15
Montagut,montagut,64410,43.566667,-0.5
Montaner,montaner,64460,43.35,0
Montardon,montardon,64121,43.366667,-0.35
Montaut,montaut,64800,43.13,-0.200278
Montfort,montfort,64190,43.366667,-0.85
Montory,montory,64470,43.1,-0.816667
Morlaàs,morlaas,64160,43.35,-0.266667
Morlanne,morlanne,64370,43.516667,-0.533333
Mouguerre,mouguerre,64990,43.466667,-1.416667
Mouhous,mouhous,64330,43.483333,-0.25
Moumour,moumour,64400,43.216667,-0.666667
Mourenx,mourenx,64150,43.383333,-0.6
Musculdy,musculdy,64130,43.2,-0.95
Nabas,nabas,64190,43.333333,-0.866667
Narcastet,narcastet,64510,43.25,-0.316667
Narp,narp,64190,43.366667,-0.833333
Navailles-Angos,navailles-angos,64450,43.416667,-0.333333
Navarrenx,navarrenx,64190,43.333333,-0.75
Nay,nay,64800,43.18,-0.262222
Noguères,nogueres,64150,43.366667,-0.6
Nousty,nousty,64420,43.266667,-0.216667
Ogenne-Camptort,ogenne-camptort,64190,43.316667,-0.7
Ogeu-les-Bains,ogeu-les-bains,64680,43.15,-0.5
Oloron-Sainte-Marie,oloron-sainte-marie,64400,43.2,-0.6
Oraàs,oraas,64390,43.433333,-0.983333
Ordiarp,ordiarp,64130,43.183333,-0.933333
Orègue,oregue,64120,43.4,-1.133333
Orin,orin,64400,43.233333,-0.666667
Orion,orion,64390,43.416667,-0.866667
Orriule,orriule,64390,43.4,-0.866667
Orsanco,orsanco,64120,43.3,-1.066667
Orthez,orthez,64300,43.483333,-0.766667
Os-Marsillon,os-marsillon,64150,43.383333,-0.616667
Ossas-Suhare,ossas-suhare,64470,43.133333,-0.883333
Osse-en-Aspe,osse-en-aspe,64490,43,-0.616667
Ossenx,ossenx,64190,43.366667,-0.816667
Osserain-Rivareyte,osserain-rivareyte,64390,43.383333,-0.95
Ossès,osses,64780,43.233333,-1.283333
Ostabat-Asme,ostabat-asme,64120,43.25,-1.066667
Ouillon,ouillon,64160,43.316667,-0.233333
Ousse,ousse,64320,43.283333,-0.266667
Ozenx-Montestrucq,ozenx-montestrucq,64300,43.45,-0.783333
Pagolle,pagolle,64120,43.233333,-0.983333
Parbayse,parbayse,64360,43.333333,-0.55
Pardies,pardies,64150,43.366667,-0.583333
Pardies-Piétat,pardies-pietat,64800,43.216667,-0.3
Pau,pau,64000,43.3,-0.366667
Peyrelongue-Abos,peyrelongue-abos,64350,43.416667,-0.1
Piets-Plasence-Moustrou,piets-plasence-moustrou,64410,43.516667,-0.5
Poey-de-Lescar,poey-de-lescar,64230,43.35,-0.466667
Poey-d\Oloron,poey-doloron,64400,43.25,-0.666667
Pomps,pomps,64370,43.5,-0.533333
Ponson-Debat-Pouts,ponson-debat-pouts,64460,43.333333,-0.033333
Ponson-Dessus,ponson-dessus,64460,43.316667,-0.05
Pontacq,pontacq,64530,43.183333,-0.116667
Pontiacq-Viellepinte,pontiacq-viellepinte,64460,43.366667,-0.05
Portet,portet,64330,43.566667,-0.183333
Pouliacq,pouliacq,64410,43.533333,-0.35
Poursiugues-Boucoue,poursiugues-boucoue,64410,43.55,-0.366667
Préchacq-Josbaig,prechacq-josbaig,64190,43.266667,-0.716667
Préchacq-Navarrenx,prechacq-navarrenx,64190,43.283333,-0.716667
Précilhon,precilhon,64400,43.2,-0.583333
Puyoô,puyoo,64270,43.533333,-0.916667
Ramous,ramous,64270,43.516667,-0.9
Rébénacq,rebenacq,64260,43.166667,-0.383333
Ribarrouy,ribarrouy,64330,43.533333,-0.266667
Riupeyrous,riupeyrous,64160,43.4,-0.233333
Rivehaute,rivehaute,64190,43.35,-0.883333
Rontignon,rontignon,64110,43.266667,-0.333333
Roquiague,roquiague,64130,43.2,-0.833333
Saint-Abit,saint-abit,64800,43.2,-0.3
Saint-Armou,saint-armou,64160,43.416667,-0.3
Saint-Boès,saint-boes,64300,43.533333,-0.8
Saint-Castin,saint-castin,64160,43.383333,-0.3
Saint-Dos,saint-dos,64270,43.466667,-1.016667
Saint-Esteben,saint-esteben,64640,43.333333,-1.216667
Saint-Etienne-de-Baïgorry,saint-etienne-de-baigorry,64430,43.166667,-1.35
Saint-Faust,saint-faust,64110,43.266667,-0.45
Saint-Girons,saint-girons,64300,43.55,-0.833333
Saint-Gladie-Arrive-Munein,saint-gladie-arrive-munein,64390,43.383333,-0.933333
Saint-Goin,saint-goin,64400,43.25,-0.7
Saint-Jammes,saint-jammes,64160,43.35,-0.25
Saint-Jean-de-Luz,saint-jean-de-luz,64500,43.383333,-1.666667
Saint-Jean-le-Vieux,saint-jean-le-vieux,64220,43.166667,-1.183333
Saint-Jean-Pied-de-Port,saint-jean-pied-de-port,64220,43.166667,-1.233333
Saint-Jean-Poudge,saint-jean-poudge,64330,43.533333,-0.183333
Saint-Just-Ibarre,saint-just-ibarre,64120,43.2,-1.05
Saint-Laurent-Bretagne,saint-laurent-bretagne,64160,43.383333,-0.2
Saint-Martin-d\Arberoue,saint-martin-darberoue,64640,43.35,-1.2
Saint-Martin-d\Arrossa,saint-martin-darrossa,64780,43.233333,-1.316667
Saint-Médard,saint-medard,64370,43.533333,-0.583333
Saint-Michel,saint-michel,64220,43.133333,-1.216667
Saint-Palais,saint-palais,64120,43.333333,-1.033333
Saint-Pé-de-Léren,saint-pe-de-leren,64270,43.483333,-1.033333
Saint-Pée-sur-Nivelle,saint-pee-sur-nivelle,64310,43.35,-1.55
Saint-Pierre-d\Irube,saint-pierre-dirube,64990,43.483333,-1.466667
Saint-Vincent,saint-vincent,64800,43.158333,-0.15
Sainte-Colome,sainte-colome,64260,43.1,-0.4
Sainte-Engrâce,sainte-engrace,64560,43,-0.816667
Salies-de-Béarn,salies-de-bearn,64270,43.483333,-0.916667
Salles-Mongiscard,salles-mongiscard,64300,43.5,-0.833333
Sallespisse,sallespisse,64300,43.533333,-0.716667
Sames,sames,64520,43.516667,-1.15
Samsons-Lion,samsons-lion,64350,43.433333,-0.116667
Sare,sare,64310,43.316667,-1.583333
Sarpourenx,sarpourenx,64300,43.45,-0.7
Sarrance,sarrance,64490,43.05,-0.6
Saubole,saubole,64420,43.316667,-0.116667
Saucède,saucede,64400,43.266667,-0.683333
Sauguis-Saint-Etienne,sauguis-saint-etienne,64470,43.15,-0.883333
Sault-de-Navailles,sault-de-navailles,64300,43.55,-0.666667
Sauvagnon,sauvagnon,64230,43.4,-0.383333
Sauvelade,sauvelade,64150,43.4,-0.7
Sauveterre-de-Béarn,sauveterre-de-bearn,64390,43.3995,-0.939722
Séby,seby,64410,43.483333,-0.4
Sedze-Maubecq,sedze-maubecq,64160,43.35,-0.116667
Sedzère,sedzere,64160,43.35,-0.166667
Séméacq-Blachon,semeacq-blachon,64350,43.5,-0.116667
Sendets,sendets,64320,43.2967,-0.260556
Serres-Castet,serres-castet,64121,43.383333,-0.35
Serres-Morlaàs,serres-morlaas,64160,43.333333,-0.25
Serres-Sainte-Marie,serres-sainte-marie,64170,43.416667,-0.55
Sévignacq,sevignacq,64160,43.4417,-0.262778
Sévignacq-Meyracq,sevignacq-meyracq,64260,43.116667,-0.416667
Simacourbe,simacourbe,64350,43.45,-0.166667
Siros,siros,64230,43.35,-0.483333
Soumoulou,soumoulou,64420,43.266667,-0.183333
Souraïde,souraide,64250,43.35,-1.466667
Suhescun,suhescun,64780,43.233333,-1.2
Sus,sus,64190,43.3,-0.766667
Susmiou,susmiou,64190,43.316667,-0.766667
Tabaille-Usquain,tabaille-usquain,64190,43.366667,-0.9
Tadousse-Ussau,tadousse-ussau,64330,43.55,-0.183333
Tardets-Sorholus,tardets-sorholus,64470,43.116667,-0.85
